timestamp,latency_ms,status_code,anomaly
7/2/2025 8:10,263,200,0
7/2/2025 8:11,287,200,0
7/2/2025 8:12,287,200,0
7/2/2025 8:13,124,200,0
7/2/2025 8:14,,504,1
7/2/2025 8:15,217,200,0
7/2/2025 8:16,256,200,0
7/2/2025 8:17,132,200,0
7/2/2025 8:18,188,200,0
7/2/2025 8:19,193,200,0
7/2/2025 8:20,,0,1
7/2/2025 8:21,284,200,0
7/2/2025 8:22,180,200,0
7/2/2025 8:23,110,200,0
7/2/2025 8:24,184,200,0
7/2/2025 8:25,286,200,0
7/2/2025 8:26,113,200,0
7/2/2025 8:27,111,200,0
7/2/2025 8:28,148,200,0
7/2/2025 8:29,263,200,0
7/2/2025 8:30,231,200,0
7/2/2025 8:31,159,200,0
7/2/2025 8:32,203,200,0
7/2/2025 8:33,193,200,0
7/2/2025 8:34,131,200,0
7/2/2025 8:35,149,200,0
7/2/2025 8:36,173,200,0
7/2/2025 8:37,206,200,0
7/2/2025 8:38,215,200,0
7/2/2025 8:39,218,200,0
7/2/2025 8:40,203,200,0
7/2/2025 8:41,238,200,0
7/2/2025 8:42,188,200,0
7/2/2025 8:43,245,200,0
7/2/2025 8:44,272,200,0
7/2/2025 8:45,249,200,0
7/2/2025 8:46,121,200,0
7/2/2025 8:47,149,200,0
7/2/2025 8:48,247,200,0
7/2/2025 8:49,300,200,0
7/2/2025 8:50,278,200,0
7/2/2025 8:51,168,200,0
7/2/2025 8:52,272,200,0
7/2/2025 8:53,299,200,0
7/2/2025 8:54,258,200,0
7/2/2025 8:55,201,200,0
7/2/2025 8:56,4474,200,1
7/2/2025 8:57,266,200,0
7/2/2025 8:58,108,200,0
7/2/2025 8:59,240,200,0
7/2/2025 9:00,1568,200,1
7/2/2025 9:01,183,200,0
7/2/2025 9:02,257,200,0
7/2/2025 9:03,172,200,0
7/2/2025 9:04,,504,1
7/2/2025 9:05,243,200,0
7/2/2025 9:06,251,200,0
7/2/2025 9:07,157,200,0
7/2/2025 9:08,174,200,0
7/2/2025 9:09,110,200,0
7/2/2025 9:10,196,200,0
7/2/2025 9:11,226,200,0
7/2/2025 9:12,187,200,0
7/2/2025 9:13,104,200,0
7/2/2025 9:14,255,200,0
7/2/2025 9:15,198,200,0
7/2/2025 9:16,269,200,0
7/2/2025 9:17,230,200,0
7/2/2025 9:18,238,200,0
7/2/2025 9:19,234,200,0
7/2/2025 9:20,197,200,0
7/2/2025 9:21,193,200,0
7/2/2025 9:22,271,200,0
7/2/2025 9:23,191,200,0
7/2/2025 9:24,293,200,0
7/2/2025 9:25,245,200,0
7/2/2025 9:26,161,200,0
7/2/2025 9:27,298,200,0
7/2/2025 9:28,168,200,0
7/2/2025 9:29,111,200,0
7/2/2025 9:30,238,200,0
7/2/2025 9:31,198,200,0
7/2/2025 9:32,,504,1
7/2/2025 9:33,250,200,0
7/2/2025 9:34,246,200,0
7/2/2025 9:35,264,200,0
7/2/2025 9:36,101,200,0
7/2/2025 9:37,188,200,0
7/2/2025 9:38,101,200,0
7/2/2025 9:39,117,200,0
7/2/2025 9:40,214,200,0
7/2/2025 9:41,234,200,0
7/2/2025 9:42,208,200,0
7/2/2025 9:43,203,200,0
7/2/2025 9:44,104,200,0
7/2/2025 9:45,286,200,0
7/2/2025 9:46,247,200,0
7/2/2025 9:47,146,200,0
7/2/2025 9:48,261,200,0
7/2/2025 9:49,216,200,0
7/2/2025 9:50,159,200,0
7/2/2025 9:51,154,200,0
7/2/2025 9:52,187,200,0
7/2/2025 9:53,163,200,0
7/2/2025 9:54,221,200,0
7/2/2025 9:55,197,200,0
7/2/2025 9:56,139,200,0
7/2/2025 9:57,181,200,0
7/2/2025 9:58,187,200,0
7/2/2025 9:59,131,200,0
7/2/2025 10:00,146,200,0
7/2/2025 10:01,,503,1
7/2/2025 10:02,206,200,0
7/2/2025 10:03,256,200,0
7/2/2025 10:04,184,200,0
7/2/2025 10:05,185,200,0
7/2/2025 10:06,215,200,0
7/2/2025 10:07,191,200,0
7/2/2025 10:08,223,200,0
7/2/2025 10:09,217,200,0
7/2/2025 10:10,245,200,0
7/2/2025 10:11,259,200,0
7/2/2025 10:12,224,200,0
7/2/2025 10:13,294,200,0
7/2/2025 10:14,,0,1
7/2/2025 10:15,233,200,0
7/2/2025 10:16,290,200,0
7/2/2025 10:17,179,200,0
7/2/2025 10:18,117,200,0
7/2/2025 10:19,132,200,0
7/2/2025 10:20,293,200,0
7/2/2025 10:21,262,200,0
7/2/2025 10:22,206,200,0
7/2/2025 10:23,139,200,0
7/2/2025 10:24,153,200,0
7/2/2025 10:25,195,200,0
7/2/2025 10:26,200,200,0
7/2/2025 10:27,111,200,0
7/2/2025 10:28,134,200,0
7/2/2025 10:29,300,200,0
7/2/2025 10:30,215,200,0
7/2/2025 10:31,178,200,0
7/2/2025 10:32,282,200,0
7/2/2025 10:33,135,200,0
7/2/2025 10:34,119,200,0
7/2/2025 10:35,2930,200,1
7/2/2025 10:36,284,200,0
7/2/2025 10:37,132,200,0
7/2/2025 10:38,262,200,0
7/2/2025 10:39,156,200,0
7/2/2025 10:40,224,200,0
7/2/2025 10:41,227,200,0
7/2/2025 10:42,224,200,0
7/2/2025 10:43,182,200,0
7/2/2025 10:44,131,200,0
7/2/2025 10:45,205,200,0
7/2/2025 10:46,184,200,0
7/2/2025 10:47,133,200,0
7/2/2025 10:48,143,200,0
7/2/2025 10:49,207,200,0
7/2/2025 10:50,296,200,0
7/2/2025 10:51,156,200,0
7/2/2025 10:52,143,200,0
7/2/2025 10:53,236,200,0
7/2/2025 10:54,267,200,0
7/2/2025 10:55,227,200,0
7/2/2025 10:56,275,200,0
7/2/2025 10:57,215,200,0
7/2/2025 10:58,,0,1
7/2/2025 10:59,207,200,0
7/2/2025 11:00,202,200,0
7/2/2025 11:01,214,200,0
7/2/2025 11:02,112,200,0
7/2/2025 11:03,287,200,0
7/2/2025 11:04,235,200,0
7/2/2025 11:05,142,200,0
7/2/2025 11:06,206,200,0
