latency_ms,anomaly
128.5589800288974,0
133.0440888015849,0
95.58686343175256,0
147.78417276763406,0
121.64092191907339,0
123.72330879450504,0
100.4329574924272,0
126.12379133571707,0
121.30570602357257,0
103.13036862243196,0
91.93812118461216,0
125.4209340826262,0
108.33274968613686,0
113.69032015851961,0
140.7323848655629,0
97.15219642824337,0
136.41287277706422,0
129.44443262885417,0
137.92569943387264,0
129.68063924377722,0
124.44180415596864,0
125.53009963309351,0
106.09604292632875,0
124.66361348397007,0
123.89583752582223,0
128.89651886952575,0
142.99108369503867,0
119.16622993634317,0
130.22837234439467,0
124.6170265333809,0
110.3014067363621,0
129.23903410416395,0
307.869707708435,1
106.58089046670744,0
121.80443447567848,0
92.38688653002532,0
129.77086876958697,0
107.15874261136699,0
113.98169292171245,0
102.85544553254066,0
132.34755875942872,0
120.83587368433042,0
113.69719774356214,0
132.8648943480303,0
129.4251826389642,0
126.38186342677447,0
105.02468938891813,0
101.99555389416335,0
117.72322357446625,0
110.65950720269109,0
113.33560109885832,0
121.83014721968043,0
134.6331769068354,0
148.2303674471255,0
124.86249528732664,0
113.04873460781306,0
122.79681472154141,0
106.54118442771252,0
129.09014927018458,0
133.7310317655311,0
113.06587066942436,0
124.15036198995028,0
132.38124523482045,0
109.50411738011121,0
112.71954678256344,0
110.97440081655904,0
116.9543192093551,0
109.30731325984253,0
135.46499283743927,0
98.62877720679815,0
139.00366723779933,0
119.05981354090243,0
142.84544784612038,0
108.48303652343807,0
137.5167309248971,0
100.6505865038842,0
124.66875231815304,0
125.14088019566556,0
119.50870094676003,0
121.48998458143839,0
129.64084139801315,0
141.6564690610989,0
131.40621984216446,0
86.83297036488173,0
111.34662195715276,0
131.384538307399,0
134.7403647591827,0
111.43231515325805,0
125.98704171528107,0
142.55989482874034,0
122.95291853803685,0
123.24687884372962,0
142.84686115904486,0
96.65056239714144,0
147.01410649366224,0
118.91984817629499,0
125.35523228947571,0
135.05299346838035,0
136.79362367151865,0
